x1,y1,data_set_number,data_set
0.039139,0,14,Rand_Training_5
0.750081,1,38,LHS_Vald_2
0.44287,0,59,Rand_Training_1
0.217898,0,66,Rand_Vald_4
0.8838483,1,867,Testing
0.69226,1,2,LHS_Training_5
0.54456,1,35,LHS_Training_0
0.096747092,0,1436,Testing
0.10586,0,28,Rand_Training_2
0.01779,0,106,regularSobol_Vald_0
0.850978,1,31,Rand_Vald_4
0.40979714,0,326,Testing
0.55665147,1,1045,Testing
0.68833,1,1,Testing
0.61893768,1,109,Testing
0.10820753,0,1628,Testing
0.51029,1,79,LHS_Training_2
0.489425,0,1,Rand_Vald_3
0.63236501,1,505,Testing
0.72131,1,50,LHS_Training_2
0.79472,1,63,regularSobol_Training_0
0.40769362,0,70,Testing
0.60467463,1,973,Testing
0.67898566,1,553,Testing
0.49758,0,111,Rand_Training_4
0.96216,1,20,Rand_Training_2
0.24887,0,7,LHS_Training_0
0.93197,1,34,LHS_Training_2
0.96009,1,82,Rand_Training_4
0.49988,0,67024,selectiveSobolSampling_Train_XX
0.027609302,0,1012,Testing
0.60508,1,68,Rand_Training_2
0.94023,1,96,LHS_Training_3
0.34391,0,106,LHS_Training_2
0.14608644,0,80,Testing
0.47695,0,81,LHS_Training_2
0.40887,0,84,LHS_Training_0
0.11543705,0,188,Testing
0.23381888,0,1448,Testing
0.474725,0,44,LHS_Vald_1
0.15105,0,115,LHS_Training_5
0.35776,0,2,LHS_Training_0
0.0488694,0,5,Rand_Vald_3
0.96346,1,101,Rand_Training_2
0.39954,0,28,Rand_Training_3
0.56257,1,68,LHS_Training_1
0.83449812,1,1415,Testing
0.70915,1,12,LHS_Training_3
0.7188962,1,369,Testing
0.85995,1,79,Rand_Training_2
0.42174,0,13,LHS_Training_0
0.084689,0,35,Rand_Training_4
0.67414145,1,1449,Testing
0.476136,0,12,Rand_Vald_1
0.8265294154,1,400007,selectiveSobolSampling_Vald_XX
0.11005,0,103,Rand_Training_5
0.673006,1,18,LHS_Vald_1
0.48145321,0,766,Testing
0.1219183308,0,400018,selectiveSobolSampling_Vald_XX
0.32484,0,118,LHS_Training_5
0.37907352,0,694,Testing
0.28956,0,134,LHS_Training_4
0.71464687,1,481,Testing
0.43147,0,136,regularSobol_Vald_0
0.208467,0,12,Rand_Vald_3
0.63509724,1,569,Testing
0.658759,1,34,LHS_Vald_2
0.31092135,0,474,Testing
0.34792,0,22,LHS_Training_0
0.726161,1,45,Rand_Vald_5
0.045818613,0,1316,Testing
0.35258671,0,642,Testing
0.57838,1,84,Rand_Training_0
0.932943,1,49,Rand_Vald_4
0.12397517,0,1276,Testing
0.0010104,0,138,regularSobol_Vald_0
0.22591,0,95,LHS_Training_2
0.047756622,0,836,Testing
0.10788913,0,604,Testing
0.43856467,0,1614,Testing
0.636,1,123,Rand_Training_3
0.77157501,1,767,Testing
0.46036875,0,110,Testing
0.872876,1,8,LHS_Vald_1
0.731006,1,55,LHS_Vald_2
0.77447578,1,63,Testing
0.90235,1,60,Rand_Training_1
0.17447716,0,1984,Testing
0.84983,1,46,Rand_Training_0
0.36419127,0,994,Testing
0.27213,0,39,Rand_Training_5
0.81505,1,57,Rand_Training_1
0.273642,0,49,LHS_Vald_3
0.29984279,0,1562,Testing
0.73736,1,99,LHS_Training_2
0.68432,1,24,Rand_Training_1
0.95774,1,49,LHS_Training_2
0.71863952,1,97,Testing
0.91353877,1,723,Testing
0.073763,0,42,Rand_Training_2
0.39199,0,72,Rand_Training_5
0.25512,0,101,Rand_Training_5
0.65903865,1,777,Testing
0.8756,1,124,Rand_Training_5
0.17015,0,48,LHS_Training_3
0.57051,1,36,LHS_Vald_3
0.55593,1,9,LHS_Training_2
0.6367,1,93,LHS_Training_2
0.9872,1,104,LHS_Training_4
0.29176483,0,1786,Testing
0.95490154,1,1787,Testing
0.20955,0,81,Rand_Training_0
0.96150604,1,187,Testing
0.33897,0,58,Rand_Training_4
0.20426047,0,1720,Testing
0.6959676,1,65,Testing
0.7992677,1,1551,Testing
0.5437341,1,1589,Testing
0.78009693,1,1727,Testing
0.38374,0,88,Rand_Training_1
0.94284048,1,475,Testing
0.77209586,1,1791,Testing
0.72541251,1,497,Testing
0.19417789,0,664,Testing
0.90141,1,35,selectiveSobolSampling_Train_XX
0.781555,1,2,LHS_Vald_1
0.12147,0,112,Rand_Training_5
0.92011278,1,1171,Testing
0.90982,1,57,Rand_Training_0
0.97571,1,17,Rand_Training_4
0.098450638,0,796,Testing
0.70242,1,217,regularSobol_Training_5
0.31487811,0,1202,Testing
0.25225,0,82,LHS_Training_5
0.16282616,0,1184,Testing
0.0916967,0,44,LHS_Vald_2
0.50233,1,50013,selectiveSobolSampling_Train_XX
0.6487,1,67,Rand_Training_0
0.39171,0,107,Rand_Training_2
0.22771223,0,296,Testing
0.630406,1,60,Rand_Vald_5
0.27945605,0,1194,Testing
0.84757123,1,1495,Testing
0.24178651,0,840,Testing
0.52458,1,137,Rand_Training_4
0.42071,0,62,Rand_Training_2
0.59928503,1,781,Testing
0.87559,1,51,Rand_Vald_5
0.55604,1,13,selectiveSobolSampling_Train_XX
0.70496,1,73,LHS_Training_0
0.21836,0,96,Rand_Training_1
0.59307,1,40,Rand_Training_4
0.28435,0,79,Rand_Training_0
0.91935537,1,1939,Testing
0.0340123,0,31,LHS_Vald_1
0.17230821,0,1728,Testing
0.17948,0,150,regularSobol_Vald_0
0.091063,0,16,LHS_Training_0
0.18146,0,55,Rand_Training_5
0.43471,0,89,Rand_Training_5
0.921291,1,37,LHS_Vald_5
0.69167,1,114,LHS_Training_3
0.50044,1,79453,selectiveSobolSampling_Train_XX
0.526473,1,1,Rand_Vald_1
0.667772,1,51,LHS_Vald_5
0.808962,1,21,LHS_Vald_4
0.3503269,0,1090,Testing
0.974068,1,13,LHS_Vald_3
0.57637,1,104,Rand_Training_3
0.19896424,0,1368,Testing
0.52636263,1,1381,Testing
0.055263227,0,772,Testing
0.584635,1,60,LHS_Vald_5
0.40719858,0,582,Testing
0.30840882,0,602,Testing
0.32511237,0,1138,Testing
0.76697491,1,127,Testing
0.433527,0,934,Testing
0.43336,0,45,Rand_Training_2
0.58743,1,91,LHS_Training_4
0.77328,1,13,Rand_Training_3
0.089231,0,98,selectiveSobolSampling_Train_XX
0.57574692,1,1597,Testing
0.47438204,0,1726,Testing
0.20323526,0,184,Testing
0.63053,1,126,LHS_Training_5
0.86706,1,18,LHS_Training_1
0.115852,0,34,LHS_Vald_3
0.18377319,0,1920,Testing
0.44815,0,75,LHS_Training_0
0.57887988,1,861,Testing
0.045668,0,14,LHS_Vald_4
0.38591084,0,118,Testing
0.33737661,0,1362,Testing
0.40609,0,120,regularSobol_Vald_0
0.26692,0,60,selectiveSobolSampling_Train_XX
0.029455753,0,1780,Testing
0.90598,1,88,LHS_Training_1
0.60195,1,119,LHS_Training_3
0.23205,0,126,regularSobol_Vald_0
0.96052132,1,635,Testing
0.44747,0,24,LHS_Training_2
0.055952,0,218,regularSobol_Training_5
0.42223,0,72,regularSobol_Training_0
0.91760117,1,1811,Testing
0.90602853,1,323,Testing
0.54466,1,54,LHS_Training_3
0.61852,1,100,LHS_Training_1
0.16458614,0,96,Testing
0.27625,0,9724,selectiveSobolSampling_Train_XX
0.12945,0,93,LHS_Training_3
0.70560021,1,1953,Testing
0.33764,0,80,Rand_Training_1
0.50074,1,98909,selectiveSobolSampling_Train_XX
0.5744,1,46,Rand_Training_5
0.412731,0,53,LHS_Vald_2
0.30602,0,61,LHS_Training_2
0.855104,1,6,Rand_Vald_0
0.72416681,1,753,Testing
0.22872,0,89,LHS_Training_0
0.6207541,1,1389,Testing
0.45608,0,49,LHS_Training_0
0.093313336,0,1932,Testing
0.63827317,1,1209,Testing
0.991602,1,30,LHS_Vald_2
0.36621265,0,1250,Testing
0.24866,0,158,regularSobol_Training_1
0.088948845,0,524,Testing
0.75261,1,100,Rand_Training_3
0.85101828,1,87,Testing
0.56345868,1,509,Testing
0.51167746,1,453,Testing
0.55308649,1,1493,Testing
0.67641819,1,1321,Testing
0.26218861,0,778,Testing
0.364502,0,32,LHS_Vald_5
0.89007,1,112,Rand_Training_4
0.902588,1,6,LHS_Vald_1
0.413938,0,43,Rand_Vald_2
0.78464067,1,687,Testing
0.046746683,0,804,Testing
0.341622,0,57,LHS_Vald_4
0.90084,1,43,Rand_Training_4
0.34651,0,37,Rand_Training_4
0.8114815,1,223,regularSobol_Vald_5
0.27301,0,12,LHS_Training_0
0.67968579,1,1577,Testing
0.77142,1,33,LHS_Training_1
0.93177721,1,1971,Testing
0.0915204,0,73,Rand_Vald_5
0.351859,0,62,Rand_Vald_3
0.57976,1,61,LHS_Training_3
0.81031559,1,207,Testing
0.81654,1,12,Rand_Training_2
0.65734,1,150,LHS_Training_5
0.89414753,1,131,Testing
0.660046,1,6,Rand_Vald_4
0.68113195,1,1769,Testing
0.0717071,0,37,LHS_Vald_2
0.65861723,1,1801,Testing
0.99937,1,25,Rand_Training_4
0.66033884,1,905,Testing
0.295805,0,48,LHS_Vald_1
0.78497054,1,1711,Testing
0.40143814,0,726,Testing
0.55563,1,84,Rand_Training_4
0.41738757,0,1286,Testing
0.18352742,0,512,Testing
0.37950254,0,1718,Testing
0.7942,1,24,LHS_Vald_5
0.2218654,0,1128,Testing
0.35982678,0,1634,Testing
0.81667,1,50,Rand_Training_2
0.64372631,1,1753,Testing
0.67011296,1,1737,Testing
0.22477162,0,1000,Testing
0.18954,0,78,selectiveSobolSampling_Train_XX
0.33039005,0,1554,Testing
0.45215,0,104,LHS_Training_1
0.64814803,1,857,Testing
0.23442,0,47,LHS_Training_1
0.904,1,73,Rand_Training_5
0.56113517,1,405,Testing
0.53415684,1,757,Testing
0.96930609,1,1835,Testing
0.20377896,0,1208,Testing
0.95828756,1,891,Testing
0.558628,1,63,Rand_Vald_4
0.53895,1,40,Rand_Training_0
0.7384933,1,593,Testing
0.08210199,0,204,Testing
0.1704011,0,224,Testing
0.87311,1,23,regularSobol_Training_0
0.400518,0,50,LHS_Vald_0
0.18673,0,86,LHS_Training_1
0.46787678,0,46,Testing
0.0549287,0,11,Rand_Vald_3
0.381024,0,31,Rand_Vald_1
0.00652235,0,33,LHS_Vald_2
0.60884,1,132,LHS_Training_5
0.23470865,0,1480,Testing
0.51484,1,54,Rand_Training_0
0.059301452,0,644,Testing
0.38258799,0,1462,Testing
0.54154947,1,693,Testing
0.16299,0,50,Rand_Training_4
0.38762523,0,1782,Testing
0.179738,0,31,LHS_Vald_2
0.5492674,1,1109,Testing
0.353667,0,65,Rand_Vald_4
0.3721837,0,418,Testing
0.47975,0,114,LHS_Training_5
0.92732113,1,371,Testing
0.30862,0,74,Rand_Training_3
0.508587,1,26,LHS_Vald_3
0.032665,0,43,LHS_Training_4
0.72571,1,9,Rand_Training_2
0.624011,1,28,Rand_Vald_2
0.53636014,1,1141,Testing
0.69444226,1,1665,Testing
0.0329755,0,9,Rand_Vald_1
0.41217,0,64,Rand_Vald_3
0.45234,0,90,LHS_Training_5
0.92689566,1,1395,Testing
0.805394,1,21,Rand_Vald_2
0.015152,0,40,LHS_Training_2
0.90037,1,120,Rand_Training_4
0.33617,0,52,regularSobol_Training_0
0.080390349,0,1100,Testing
0.2371,0,63,Rand_Training_4
0.39940031,0,1494,Testing
0.89960163,1,451,Testing
0.69413,1,25,regularSobol_Training_0
0.87018351,1,823,Testing
0.88897,1,113,LHS_Training_5
0.146023,0,63,LHS_Vald_3
0.98643,1,74,Rand_Training_5
0.60132,1,101,regularSobol_Vald_0
0.99563574,1,1739,Testing
0.053928,0,76,LHS_Training_4
0.69127,1,45,Rand_Training_0
0.53586318,1,1653,Testing
0.37327,0,84,LHS_Training_2
0.43247913,0,1446,Testing
0.90625252,1,83,Testing
0.36011469,0,610,Testing
0.65521483,1,1305,Testing
0.93224,1,44,LHS_Vald_4
0.706019,1,71,Rand_Vald_5
0.128363258,0,400006,selectiveSobolSampling_Vald_XX
0.86165566,1,1399,Testing
0.66797,1,3,LHS_Training_2
0.57844,1,27,LHS_Training_5
0.018033022,0,1844,Testing
0.60675,1,21,Rand_Training_0
0.9875,1,54,Rand_Vald_3
0.9855258,1,1931,Testing
0.206106,0,20,Rand_Vald_3
0.88746,1,67,regularSobol_Training_0
0.92239972,1,1779,Testing
0.74416049,1,1681,Testing
0.15358,0,81,Rand_Training_4
0.18523334,0,1408,Testing
0.61331,1,5,Rand_Training_1
0.89692,1,99,selectiveSobolSampling_Train_XX
0.50846994,1,709,Testing
0.97234,1,187,regularSobol_Training_3
0.7201,1,4,Rand_Training_4
0.315616,0,62,LHS_Vald_4
0.75429,1,105,LHS_Training_2
0.50221,1,83,LHS_Training_4
0.68833,1,1,Testing
0.825919,1,57,Rand_Vald_5
0.59351372,1,413,Testing
0.68458,1,15,Rand_Training_5
0.582566,1,52,Rand_Vald_5
0.74258827,1,913,Testing
0.44547,0,45,Rand_Training_4
0.94353695,1,731,Testing
0.94529,1,86,LHS_Training_4
0.94834,1,53,LHS_Training_5
0.0134283,0,10,LHS_Vald_1
0.837156,1,8,LHS_Vald_2
0.42361,0,70,LHS_Training_5
0.4392,0,47,Rand_Training_2
0.34331363,0,1490,Testing
0.79845344,1,271,Testing
0.056336,0,90,Rand_Training_1
0.62971408,1,761,Testing
0.26831309,0,362,Testing
0.65209,1,98,LHS_Training_1
0.49724,0,7376,selectiveSobolSampling_Train_XX
0.73878,1,8,LHS_Training_4
0.82341,1,7,selectiveSobolSampling_Train_XX
0.096787,0,50,selectiveSobolSampling_Train_XX
0.31849,0,65,LHS_Training_2
0.66179316,1,393,Testing
0.65078835,1,153,Testing
0.20868409,0,824,Testing
0.24682009,0,8,Testing
0.735935,1,39,LHS_Vald_5
0.50601748,1,517,Testing
0.23213775,0,1192,Testing
0.33551,0,108,Rand_Training_2
0.88746,1,67,selectiveSobolSampling_Train_XX
0.40655185,0,1606,Testing
0.99258834,1,459,Testing
0.96828,1,124,LHS_Training_4
0.88236495,1,931,Testing
0.63133,1,8,Rand_Training_0
0.59274006,1,1949,Testing
0.226493,0,33,Rand_Vald_1
0.020512163,0,1460,Testing
0.9223282,1,147,selectiveSobolSampling_Vald_XX
0.777546,1,52,Rand_Vald_1
0.016778149,0,1076,Testing
0.29718223,0,1306,Testing
0.214182,0,38,Rand_Vald_2
0.557373,1,19,Rand_Vald_3
0.078471,0,118,LHS_Training_3
0.24997,0,120,LHS_Training_4
0.4855710168,0,400016,selectiveSobolSampling_Vald_XX
0.78854,1,33,Rand_Training_3
0.882513,1,22,Rand_Vald_1
0.83497778,1,1927,Testing
0.27712,0,27,Rand_Training_4
0.2811,0,73,LHS_Training_2
0.14528,0,56,Rand_Training_3
0.86482348,1,1015,Testing
0.3454972,0,1730,Testing
0.4228,0,32,LHS_Training_3
0.090223245,0,140,Testing
0.95616,1,84,Rand_Training_3
0.74522,1,97,LHS_Training_1
0.54166,1,111,LHS_Training_2
0.70076,1,27,LHS_Vald_2
0.59204401,1,925,Testing
0.13774,0,118,Rand_Training_3
0.73262,1,90,Rand_Training_4
0.89543707,1,515,Testing
0.39176,0,53,LHS_Training_3
0.61106581,1,45,Testing
0.343038,0,11,Rand_Vald_4
0.26428461,0,522,Testing
0.51057,1,76,LHS_Training_0
0.80551708,1,1871,Testing
0.5690617,1,1405,Testing
0.36509611,0,1506,Testing
0.083426,0,61,LHS_Training_0
0.10432,0,20,LHS_Training_4
0.98677387,1,1163,Testing
0.38624,0,122,LHS_Training_5
0.051269482,0,1732,Testing
0.6142567,1,133,selectiveSobolSampling_Vald_XX
0.93396231,1,819,Testing
0.20507,0,48,Rand_Training_4
0.374,0,76,Rand_Training_1
0.0766367,0,10,Rand_Vald_4
0.048653892,0,1348,Testing
0.54556,1,109,regularSobol_Vald_0
0.673543,1,48,Rand_Vald_2
0.59043685,1,669,Testing
0.14869,0,166,regularSobol_Training_2
0.19828341,0,344,Testing
0.836299,1,26,LHS_Vald_4
0.72674,1,65,LHS_Training_5
0.90343575,1,67,Testing
0.556834,1,24,Rand_Vald_3
0.87674712,1,1827,Testing
0.14436717,0,1232,Testing
0.3558,0,71,LHS_Training_3
0.15432983,0,1808,Testing
0.8830174,1,195,regularSobol_Vald_3
0.29462615,0,1146,Testing
0.816721,1,32,LHS_Vald_4
0.9348977,1,1331,Testing
0.13405,0,65,Rand_Training_2
0.98595,1,108,LHS_Training_2
0.49274091,0,990,Testing
0.89577,1,85,LHS_Training_3
0.92968585,1,1139,Testing
0.260359,0,55,LHS_Vald_1
0.424521,0,39,Rand_Vald_5
0.53504,1,62,LHS_Training_5
0.36118,0,72,Rand_Training_0
0.6355776734,1,400017,selectiveSobolSampling_Vald_XX
0.34424,0,100,selectiveSobolSampling_Train_XX
0.044228,0,44,Rand_Training_4
0.46627495,0,1326,Testing
0.50046,1,91,Rand_Training_5
0.8959339,1,3,Testing
0.74303637,1,1937,Testing
0.43205366,0,422,Testing
0.110814,0,38,Rand_Vald_4
0.38113361,0,1974,Testing
0.63911,1,5,LHS_Training_4
0.85685,1,34,Rand_Training_4
0.36992,0,68,selectiveSobolSampling_Train_XX
0.81437,1,12,LHS_Training_5
0.91304186,1,211,Testing
0.78842046,1,815,Testing
0.0655958,0,52,Rand_Vald_2
0.90163,1,19,LHS_Training_3
0.4314715,0,136,selectiveSobolSampling_Vald_XX
0.31136185,0,1498,Testing
0.84828,1,55,regularSobol_Training_0
0.96252545,1,1723,Testing
0.23691,0,25,Rand_Training_5
0.60077,1,22,Rand_Training_3
0.55177777,1,1749,Testing
0.53936865,1,949,Testing
0.9969,1,103,LHS_Training_3
0.71958,1,59,LHS_Training_4
0.028541,0,117,LHS_Training_3
0.49062,0,1,LHS_Training_4
0.092994908,0,908,Testing
0.61426,1,133,regularSobol_Vald_0
0.74527,1,22,LHS_Training_4
0.19884,0,142,regularSobol_Vald_0
0.59761,1,132,Rand_Training_5
0.33894914,0,82,Testing
0.7153,1,57,regularSobol_Training_0
0.78894127,1,1839,Testing
0.9237832262,1,400019,selectiveSobolSampling_Vald_XX
0.8231453,1,1767,Testing
0.70885,1,9,Rand_Training_5
0.43295684,0,1958,Testing
0.52238,1,61,selectiveSobolSampling_Train_XX
0.29662,0,87,LHS_Training_3
0.91465,1,108,Rand_Training_4
0.334546,0,54,LHS_Vald_1
0.9911355,1,267,Testing
0.73250176,1,1457,Testing
0.06251262,0,1004,Testing
0.21578204,0,1400,Testing
0.257314,0,46,LHS_Vald_4
0.516491,1,37,Testing
0.69063076,1,1793,Testing
0.57761,1,100,Rand_Training_5
0.0625387,0,42,Rand_Vald_3
0.554168,1,46,Rand_Vald_1
0.49996,0,58832,selectiveSobolSampling_Train_XX
0.041221,0,91,LHS_Training_5
0.39407,0,86,LHS_Training_2
0.50040486,1,1669,Testing
0.11836,0,43,LHS_Training_0
0.93113224,1,1203,Testing
0.57428883,1,1085,Testing
0.85762753,1,1559,Testing
0.88913577,1,483,Testing
0.53666733,1,117,Testing
0.8705113423,1,400023,selectiveSobolSampling_Vald_XX
0.13591066,0,560,Testing
0.834048,1,63,Rand_Vald_3
0.94303,1,75,regularSobol_Training_0
0.890149,1,19,Rand_Vald_2
0.12999932,0,1776,Testing
0.83854,1,33,LHS_Training_3
0.35961,0,33,LHS_Training_4
0.55088,1,77,selectiveSobolSampling_Train_XX
0.81345874,1,935,Testing
0.82353,1,120,Rand_Training_2
0.39177,0,11,Rand_Training_4
0.9464469,1,27,Testing
0.0360979,0,100,Testing
0.98455,1,95,Rand_Training_4
0.014284186,0,84,Testing
0.44703,0,84,LHS_Training_3
0.18281,0,39,Rand_Training_0
0.843,1,80,LHS_Training_4
0.1802,0,91,Rand_Training_1
0.70780778,1,801,Testing
0.41330428,0,1222,Testing
0.74406351,1,401,Testing
0.3419,0,36,Rand_Training_2
0.68437,1,67,LHS_Training_4
0.67071,1,64,Rand_Vald_5
0.68833,1,1,Testing
0.98391,1,137,LHS_Training_4
0.48416,0,42,Rand_Training_0
0.12696,0,36,LHS_Training_0
0.36288671,0,354,Testing
0.7312594,1,1201,Testing
0.96788,1,107,regularSobol_Vald_0
0.29301,0,49900,selectiveSobolSampling_Train_XX
0.92526,1,83,Rand_Training_4
0.074784,0,2,selectiveSobolSampling_Train_XX
0.75644,1,100,LHS_Training_3
0.185136,0,33,Rand_Vald_5
0.30053123,0,538,Testing
0.8444243,1,1751,Testing
0.37735192,0,1590,Testing
0.5586760804,1,400013,selectiveSobolSampling_Vald_XX
0.556285,1,48,LHS_Vald_0
0.71056,1,22,LHS_Training_2
0.877084,1,17,LHS_Vald_5
0.32913473,0,1298,Testing
0.7932,1,20,LHS_Training_1
0.72639,1,88,Rand_Training_3
0.12445685,0,1788,Testing
0.38966126,0,502,Testing
0.33315981,0,1170,Testing
0.35825,0,46,LHS_Training_2
0.10485976,0,1500,Testing
0.22062345,0,1384,Testing
0.84322206,1,1991,Testing
0.12124984,0,1532,Testing
0.125969,0,6,LHS_Vald_4
0.33698,0,86,Rand_Training_2
0.160458,0,35,LHS_Vald_1
0.23907315,0,72,Testing
0.58740753,1,1309,Testing
0.56345,1,133,LHS_Training_5
0.32559402,0,1650,Testing
0.501982,1,28,LHS_Vald_2
0.95379,1,150,Rand_Training_5
0.12061,0,27,LHS_Training_4
0.89697764,1,1795,Testing
0.229615,0,48,LHS_Vald_2
0.34626558,0,1474,Testing
0.0070064,0,89,Rand_Training_3
0.43322,0,10,LHS_Vald_0
0.4462587,0,224,regularSobol_Vald_5
0.408012,0,1094,Testing
0.848339,1,8,Rand_Vald_0
0.81235,1,101,LHS_Training_5
0.30402,0,204,regularSobol_Training_4
0.18807128,0,1560,Testing
0.49971,0,60880,selectiveSobolSampling_Train_XX
0.80007345,1,15,Testing
0.94499317,1,219,Testing
0.84853,1,56,LHS_Training_0
0.36543746,0,738,Testing
0.133645,0,5,LHS_Vald_0
0.24933093,0,1800,Testing
0.15304,0,38,regularSobol_Training_0
0.7664913,1,639,Testing
0.10032661,0,1564,Testing
0.076362335,0,1836,Testing
0.69234,1,69,Rand_Training_0
0.64136508,1,473,Testing
0.0010410293,0,1684,Testing
0.70436,1,69,Rand_Training_3
0.86913,1,39,LHS_Training_4
0.781401,1,1,LHS_Vald_0
0.6406,1,69,Rand_Vald_4
0.68177727,1,1513,Testing
0.034670912,0,740,Testing
0.61335,1,105,Rand_Training_1
0.423661,0,31,Rand_Vald_3
0.27727,0,57,Rand_Training_4
0.977057,1,29,Rand_Vald_3
0.127917,0,5,Rand_Vald_2
0.78284997,1,943,Testing
0.97117,1,21,Rand_Training_1
0.55239,1,32,LHS_Training_0
0.99978,1,26,Rand_Vald_4
0.83343,1,167,regularSobol_Training_2
0.20781,0,98,Rand_Training_5
0.502849,1,19,Rand_Vald_5
0.230432,0,14,LHS_Vald_5
0.29988,0,53,LHS_Training_2
0.74281,1,19,Rand_Training_1
0.31978343,0,818,Testing
0.12409,0,103,LHS_Training_2
0.54017,1,74,Rand_Training_0
0.052042773,0,196,Testing
0.41692,0,104,regularSobol_Vald_0
0.42223,0,72,selectiveSobolSampling_Train_XX
0.12614,0,55,LHS_Training_1
0.77141,1,115,LHS_Training_3
0.73682,1,104,Rand_Training_2
0.99864878,1,331,Testing
0.57534434,1,573,Testing
0.647031,1,25,Rand_Vald_1
0.57362466,1,1725,Testing
0.81104,1,95,LHS_Training_3
0.50749095,1,5,Testing
0.842508,1,61,Rand_Vald_4
0.23043381,0,40,Testing
0.30495,0,64,Rand_Training_5
0.1224165,0,146,selectiveSobolSampling_Vald_XX
0.066574686,0,620,Testing
0.199574,0,44,Rand_Vald_2
0.72403,1,25,LHS_Training_5
0.7038,1,26,Rand_Training_1
0.311268,0,14,Rand_Vald_0
0.37289,0,80,Rand_Training_3
0.7411352,1,849,Testing
0.52556,1,12,Rand_Training_0
0.553298,1,44,Rand_Vald_5
0.94014902,1,1883,Testing
0.66827,1,70,Rand_Training_1
0.95087242,1,1435,Testing
0.42272,0,53,LHS_Training_4
0.59986886,1,1037,Testing
0.42263039,0,230,Testing
0.31139,0,12,selectiveSobolSampling_Train_XX
0.61221,1,62,LHS_Training_0
0.046302165,0,1828,Testing
0.22093,0,63,LHS_Training_5
0.6469777,1,1369,Testing
0.281243,0,32,Rand_Vald_4
0.68833,1,1,Testing
0.1793824,0,64,Testing
0.57912,1,102,Rand_Training_4
0.53230665,1,1525,Testing
0.0005574373,0,1172,Testing
0.315,0,20,regularSobol_Training_0
0.50228,1,95,LHS_Training_0
0.62238378,1,1517,Testing
0.478086,0,36,Rand_Vald_5
0.9057101,1,1347,Testing
0.71205,1,80,Rand_Training_4
0.70531972,1,929,Testing
0.30517,0,59,LHS_Training_0
0.71147,1,185,regularSobol_Training_3
0.85417571,1,919,Testing
0.39767,0,81,LHS_Training_4
0.069303813,0,876,Testing
0.250187,0,41,LHS_Vald_0
0.89815,1,139,Rand_Training_5
0.99303667,1,1483,Testing
0.454651,0,24,Rand_Vald_1
0.0719995,0,30,LHS_Vald_3
0.54117,1,71,Rand_Training_4
